District,TotBahai,TotSikhism,TotReligionUk,Totpop,TotHindu,TotHinduism,TotIslam,TotKirat,TotChristianity,TotPrakriti,TotBon,TotJainism,MaleBahai,MaleSikhism,MaleUk,MaleTotPop,MaleHindu,MaleBuddhism,MaleIslam,MaleKirat,MaleChristianity,MalePrakriti,MaleBon,MaleJainism,FemaleBahai,FemaleSikhism,FemaleUk,FemalTotPop,FemalHindu,FemaleBuddhism,FemaleIslam,FemaleKirat,FemaleChristianity,FemalePrakriti,FemaleBon,FemaleJainism
Taplejung,1,0,313,127461,45758,26154,2,52728,1873,23,609,0,1,0,158,60552,21957,12308,1,24964,879,5,279,0,0,0,155,66909,23801,13846,1,27764,994,18,330,0
Panchthar,9,0,425,191817,65810,22383,55,99809,3036,250,35,5,3,0,184,90186,31406,10280,36,46701,1435,122,14,5,6,0,241,101631,34404,12103,19,53108,1601,128,21,0
Ilam,44,2,1939,290254,129141,44366,229,103350,7252,3896,29,6,18,1,1303,141126,62677,21335,146,50121,3489,2022,10,4,26,1,636,149128,66464,23031,83,53229,3763,1874,19,2
Jhapa,26,110,2747,812650,649151,39321,25974,67572,15743,11739,19,248,9,50,1330,385096,308373,18357,12811,31084,7425,5522,9,126,17,60,1417,427554,340778,20964,13163,36488,8318,6217,10,122
Morang,235,21,2700,965370,774905,39873,45755,63213,15849,21755,94,970,105,12,1407,466712,376673,18199,23340,28829,7309,10302,48,488,130,9,1293,498658,398232,21674,22415,34384,8540,11453,46,482
Sunsari,25,26,3035,763487,559453,33714,88072,52558,11379,14807,30,388,13,11,1486,371229,273890,15725,43537,24253,5201,6900,12,201,12,15,1549,392258,285563,17989,44535,28305,6178,7907,18,187
Dhankuta,5,2,475,163412,80357,22206,161,57088,2910,192,3,13,3,2,229,76515,38237,10095,107,26431,1323,83,1,4,2,0,246,86897,42120,12111,54,30657,1587,109,2,9
Terhathum,3,0,164,101577,52992,12725,31,34469,1041,148,4,0,2,0,83,47151,24704,5885,14,15891,502,67,3,0,1,0,81,54426,28288,6840,17,18578,539,81,1,0
Sankhuwasabha,1,0,403,158742,67826,42254,41,45643,2331,169,4,70,0,0,200,75225,31862,20064,25,21840,1127,72,3,32,1,0,203,83517,35964,22190,16,23803,1204,97,1,38
Bhojpur,8,1,448,182459,97301,25862,19,57499,984,331,6,0,3,1,209,86053,46142,12116,10,26985,447,138,2,0,5,0,239,96406,51159,13746,9,30514,537,193,4,0
Solukhumbu,0,0,197,105886,42575,28753,13,31940,2343,65,0,0,0,0,101,51200,20466,13852,9,15611,1131,30,0,0,0,0,96,54686,22109,14901,4,16329,1212,35,0,0
Okhaldhunga,0,0,446,147984,104711,26175,26,15156,1363,90,6,11,0,0,205,68687,48633,12173,13,7013,601,41,2,6,0,0,241,79297,56078,14002,13,8143,762,49,4,5
Khotang,17,0,660,206312,121278,15120,43,64745,4318,127,4,0,7,0,325,97092,57145,7009,31,30484,2034,55,2,0,10,0,335,109220,64133,8111,12,34261,2284,72,2,0
Udayapur,12,1,755,317532,230421,38473,2168,31401,7589,6695,17,0,6,0,371,149712,108936,17919,1054,14782,3522,3113,9,0,6,1,384,167820,121485,20554,1114,16619,4067,3582,8,0
Saptari,4,0,3328,639284,548081,29905,57004,395,300,78,1,188,1,0,1662,313846,270689,13841,27172,190,154,34,0,103,3,0,1666,325438,277392,16064,29832,205,146,44,1,85
Siraha,3,6,2318,637328,574796,11012,47566,463,353,794,0,17,1,3,1178,310101,280628,5325,22165,216,176,400,0,9,2,3,1140,327227,294168,5687,25401,247,177,394,0,8
Dhanusa,4,11,4682,754777,674367,11220,63099,165,652,568,0,9,2,6,2438,378538,339179,5501,30724,77,323,283,0,5,2,5,2244,376239,335188,5719,32375,88,329,285,0,4
Mahottari,0,2,1516,627580,528663,12699,83696,66,878,41,0,19,0,2,808,311016,263581,6181,39948,38,425,23,0,10,0,0,708,316564,265082,6518,43748,28,453,18,0,9
Sarlahi,4,0,2366,769729,658611,44011,60679,331,1752,1959,5,11,3,0,1241,389756,334894,21239,30396,150,856,968,2,7,1,0,1125,379973,323717,22772,30283,181,896,991,3,4
Sindhuli,3,0,1262,296192,190952,90136,179,1024,2897,9736,3,0,1,0,734,142123,91954,42893,113,484,1358,4584,2,0,2,0,528,154069,98998,47243,66,540,1539,5152,1,0
Ramechhap,6,0,647,202646,145771,49990,33,33,3188,2915,63,0,1,0,321,93386,67510,22631,20,18,1486,1373,26,0,5,0,326,109260,78261,27359,13,15,1702,1542,37,0
Dolakha,4,0,273,186557,126492,41600,46,35,3041,15058,4,4,3,0,111,87003,58766,19450,31,25,1419,7193,2,3,1,0,162,99554,67726,22150,15,10,1622,7865,2,1
Sindhupalchok,3,1,364,287798,169740,109238,38,24,5280,3104,5,1,2,1,177,138351,80738,53494,25,9,2436,1465,3,1,1,0,187,149447,89002,55744,13,15,2844,1639,2,0
Kavrepalanchok,7,3,1230,381937,238994,132245,318,61,6786,2286,4,3,4,2,617,182936,115110,62756,232,41,3114,1057,2,1,3,1,613,199001,123884,69489,86,20,3672,1229,2,2
Lalitpur,29,75,818,468132,344234,90230,3080,5806,23489,231,72,68,15,44,424,238082,176562,44793,2128,2829,11105,113,33,36,14,31,394,230050,167672,45437,952,2977,12384,118,39,32
Bhaktapur,1,5,291,304651,267643,27982,1506,1167,5988,61,1,6,0,3,145,154884,136201,14086,1061,564,2786,34,0,4,1,2,146,149767,131442,13896,445,603,3202,27,1,2
Kathmandu,55,63,2327,1744240,1395538,268479,21866,13379,40592,898,214,829,32,41,1328,913001,734605,134772,15058,6884,19246,479,111,445,23,22,999,831239,660933,133707,6808,6495,21346,419,103,384
Nuwakot,8,0,880,277471,160290,111017,351,430,4462,31,2,0,5,0,435,132787,76484,53419,181,201,2051,10,1,0,3,0,445,144684,83806,57598,170,229,2411,21,1,0
Rasuwa,0,0,113,43300,10988,30290,9,6,1862,31,1,0,0,0,63,21475,5636,14818,7,4,929,17,1,0,0,0,50,21825,5352,15472,2,2,933,14,0,0
Dhading,45,0,400,336067,243384,69113,1034,26,21243,817,3,2,18,0,202,157834,114484,32197,606,14,9905,405,2,1,27,0,198,178233,128900,36916,428,12,11338,412,1,1
Makwanpur,8,0,808,420477,202912,191603,1787,198,20354,2767,37,3,5,0,404,206684,100605,93139,1093,105,9923,1389,19,2,3,0,404,213793,102307,98464,694,93,10431,1378,18,1
Rautahat,5,0,1770,686722,534079,12692,135283,672,1049,1112,0,60,2,0,947,351079,274990,6365,67370,325,508,546,0,26,3,0,823,335643,259089,6327,67913,347,541,566,0,34
Bara,1,4,1316,687708,562081,31142,89686,1290,1621,540,2,25,0,3,750,351244,288220,15046,45519,646,784,266,0,10,1,1,566,336464,273861,16096,44167,644,837,274,2,15
Parsa,1,130,882,601017,499438,10069,87033,2571,753,24,0,116,1,66,467,312358,260301,4960,44813,1308,371,10,0,61,0,64,415,288659,239137,5109,42220,1263,382,14,0,55
Chitawan,10,7,1889,579984,472103,75509,6741,225,19682,3765,48,5,4,3,1295,279087,226681,35817,4042,105,9255,1864,18,3,6,4,594,300897,245422,39692,2699,120,10427,1901,30,2
Gorkha,15,2,284,271061,203702,51766,3056,22,8860,1640,1713,1,7,2,124,121041,90761,23299,1337,10,3968,771,762,0,8,0,160,150020,112941,28467,1719,12,4892,869,951,1
Lamjung,5,0,730,167724,107311,55586,942,23,3000,67,60,0,3,0,312,75913,48550,25182,454,13,1337,36,26,0,2,0,418,91811,58761,30404,488,10,1663,31,34,0
Tanahu,8,0,1318,323288,279661,30532,4157,35,5467,521,1588,1,4,0,583,143410,124026,13399,2003,20,2442,227,705,1,4,0,735,179878,155635,17133,2154,15,3025,294,883,0
Syangja,6,0,460,289148,260832,21514,1978,21,582,38,3717,0,2,0,212,125833,113381,9367,932,14,259,12,1654,0,4,0,248,163315,147451,12147,1046,7,323,26,2063,0
Kaski,27,11,1654,492098,405141,66266,4437,453,10538,646,2908,17,15,7,775,236385,195756,30249,2746,263,4962,316,1287,9,12,4,879,255713,209385,36017,1691,190,5576,330,1621,8
Manang,0,0,225,6538,2562,3606,4,1,93,14,31,2,0,0,114,3661,1624,1846,3,1,50,7,14,2,0,0,111,2877,938,1760,1,0,43,7,17,0
Mustang,0,0,39,13452,5040,8095,3,19,152,5,98,1,0,0,18,7093,3032,3902,3,15,77,2,44,0,0,0,21,6359,2008,4193,0,4,75,3,54,1
Myagdi,0,0,238,113641,99047,11739,180,20,1513,885,19,0,0,0,114,51395,44817,5262,109,14,677,392,10,0,0,0,124,62246,54230,6477,71,6,836,493,9,0
Parbat,2,1,136,146590,131163,13663,624,24,666,34,277,0,1,1,56,65301,58304,6138,341,12,318,15,115,0,1,0,80,81289,72859,7525,283,12,348,19,162,0
Baglung,3,0,1053,268613,239785,23474,734,13,1683,1792,75,1,3,0,473,117997,105110,10402,372,11,778,821,27,0,0,0,580,150616,134675,13072,362,2,905,971,48,1
Gulmi,3,0,202,280160,271138,7786,431,10,562,28,0,0,1,0,97,120995,116871,3513,231,9,255,18,0,0,2,0,105,159165,154267,4273,200,1,307,10,0,0
Palpa,2,0,382,261180,236411,20426,1226,0,2294,437,2,0,0,0,172,115840,104533,9292,629,0,1016,196,2,0,2,0,210,145340,131878,11134,597,0,1278,241,0,0
Nawalparasi,9,0,888,643508,567450,38615,24160,354,11180,389,463,0,3,0,446,303675,268340,17559,11773,166,5032,165,191,0,6,0,442,339833,299110,21056,12387,188,6148,224,272,0
Rupandehi,4,18,1135,880196,759046,40571,72428,246,5824,186,700,38,2,10,677,432193,373948,18424,35903,129,2681,82,316,21,2,8,458,448003,385098,22147,36525,117,3143,104,384,17
Kapilbastu,24,23,746,571936,461070,4986,103838,20,1115,95,17,2,10,11,394,285599,230300,2307,51988,12,520,47,9,1,14,12,352,286337,230770,2679,51850,8,595,48,8,1
Arghakhanchi,6,0,87,197632,191754,3786,1773,6,218,1,1,0,3,0,34,86266,83590,1713,819,6,100,0,1,0,3,0,53,111366,108164,2073,954,0,118,1,0,0
Pyuthan,1,0,123,228102,220366,6423,614,7,554,14,0,0,1,0,60,100053,96545,2909,279,4,251,4,0,0,0,0,63,128049,123821,3514,335,3,303,10,0,0
Rolpa,1,0,1360,224506,191216,26348,216,4,3871,1490,0,0,0,0,662,103100,87917,12047,117,3,1692,662,0,0,1,0,698,121406,103299,14301,99,1,2179,828,0,0
Rukum,3,0,1235,208567,201294,2235,126,0,3317,357,0,0,2,0,558,99159,95782,1067,67,0,1506,177,0,0,1,0,677,109408,105512,1168,59,0,1811,180,0,0
Salyan,4,0,166,242444,236889,1996,268,0,3114,7,0,0,1,0,75,115969,113283,973,128,0,1506,3,0,0,3,0,91,126475,123606,1023,140,0,1608,4,0,0
Dang,49,0,437,552583,533049,6429,4781,16,7431,391,0,0,20,0,211,261059,251753,3037,2452,8,3399,179,0,0,29,0,226,291524,281296,3392,2329,8,4032,212,0,0
Banke,7,39,394,491313,385280,5599,93263,148,6466,67,0,50,1,17,218,244255,191080,2524,47230,87,3052,23,0,23,6,22,176,247058,194200,3075,46033,61,3414,44,0,27
Bardiya,34,0,146,426576,401702,4299,11084,42,9241,28,0,0,13,0,78,205080,193189,1970,5549,21,4248,12,0,0,21,0,68,221496,208513,2329,5535,21,4993,16,0,0
Surkhet,1,0,246,350804,322244,14402,1825,14,12022,49,1,0,1,0,183,169421,155829,6888,975,9,5508,27,1,0,0,0,63,181383,166415,7514,850,5,6514,22,0,0
Dailekh,0,0,31,261770,254971,5100,459,0,1201,8,0,0,0,0,14,126990,123675,2495,229,0,573,4,0,0,0,0,17,134780,131296,2605,230,0,628,4,0,0
Jajarkot,1,0,183,171304,169526,93,10,0,1491,0,0,0,0,0,101,85537,84641,48,5,0,742,0,0,0,1,0,82,85767,84885,45,5,0,749,0,0,0
Dolpa,0,0,1,36700,25745,10788,14,1,140,0,11,0,0,0,1,18238,13076,5077,13,1,66,0,4,0,0,0,0,18462,12669,5711,1,0,74,0,7,0
Jumla,1,0,132,108921,106618,1344,111,0,714,1,0,0,0,0,58,54898,53777,627,69,0,366,1,0,0,1,0,74,54023,52841,717,42,0,348,0,0,0
Kalikot,0,0,29,136948,136665,87,27,2,138,0,0,0,0,0,12,68833,68680,48,16,1,76,0,0,0,0,0,17,68115,67985,39,11,1,62,0,0,0
Mugu,0,0,31,55286,50664,4468,6,1,113,3,0,0,0,0,15,28025,25839,2106,4,0,61,0,0,0,0,0,16,27261,24825,2362,2,1,52,3,0,0
Humla,1,0,21,50858,41509,9213,11,1,100,1,0,1,1,0,10,25833,21139,4616,11,1,54,0,0,1,0,0,11,25025,20370,4597,0,0,46,1,0,0
Bajura,3,0,37,134912,133130,1544,100,10,82,6,0,0,3,0,17,65806,64920,767,51,6,39,3,0,0,0,0,20,69106,68210,777,49,4,43,3,0,0
Bajhang,6,0,72,195159,194656,359,8,0,51,7,0,0,4,0,36,92794,92524,196,4,0,25,5,0,0,2,0,36,102365,102132,163,4,0,26,2,0,0
Achham,2,0,93,257477,256002,776,257,2,344,1,0,0,0,0,53,120008,119232,389,154,2,177,1,0,0,2,0,40,137469,136770,387,103,0,167,0,0,0
Doti,6,0,35,211746,209710,1591,116,1,273,14,0,0,4,0,19,97252,96223,805,67,1,125,8,0,0,2,0,16,114494,113487,786,49,0,148,6,0,0
Kailali,21,45,2568,775709,736213,15620,4930,86,14493,1710,0,23,6,24,1940,378417,358436,7762,2556,41,6760,879,0,13,15,21,628,397292,377777,7858,2374,45,7733,831,0,10
Kanchanpur,432,0,404,451248,429082,5183,461,25,11962,3699,0,0,191,0,184,216042,205647,2413,278,12,5446,1871,0,0,241,0,220,235206,223435,2770,183,13,6516,1828,0,0
Dadeldhura,1,0,23,142094,140503,1008,37,3,473,46,0,0,0,0,12,66556,65780,483,24,2,229,26,0,0,1,0,11,75538,74723,525,13,1,244,20,0,0
Baitadi,5,0,34,250898,250727,55,21,1,54,1,0,0,2,0,17,117407,117299,44,18,1,26,0,0,0,3,0,17,133491,133428,11,3,0,28,1,0,0
Darchula,3,0,16,133274,131782,1167,31,0,74,201,0,0,2,0,9,63605,62836,594,22,0,36,106,0,0,1,0,7,69669,68946,573,9,0,38,95,0,0
